,Unnamed: 0,Track,Year,Closest Passage (km),Angle of Passage,close_x,close_y,Vm_max,Vm_rmin,Rm_max,Rm_rmin,Direction,U,V,Max Surge (m),pass_libh
136,136,137,1991,98.6355393608202,78.9050363366852,-74.94600000000003,24.137,42.15354136,41.55164188,127.9,24.13,NW,-0.5480000000000018,0.0130000000000016,0.538914,98.6355393608202
137,137,138,1991,65.8738943208912,153.69400860771896,-75.649,23.528,15.2789868,6.7906608,121.04,120.6,NE,0.0980000000000131,0.2480000000000011,0.383531,65.8738943208912
138,138,139,1991,98.9306453885753,50.326124189704046,-74.548,23.951,28.45389764,5.86980604,132.95,132.67,NW,-0.4519999999999982,0.2010000000000005,0.300959,98.9306453885753
139,139,140,1991,15.46250319320914,97.83926333181353,-75.13600000000002,23.403,32.898693800000004,15.06806476,114.3,47.31,NW,-0.4810000000000514,0.2560000000000002,0.448207,15.46250319320914
140,140,141,1991,18.67473975722199,356.9335144988738,-74.94900000000001,23.256,22.1725364,19.84210508,112.59,36.52,SE,0.0169999999999959,-0.1099999999999994,0.571454,18.67473975722199
141,141,142,1991,89.24406902982389,90.07126337060598,-75.118,24.069,35.40918052,15.51563104,119.99,46.04,NW,-0.47199999999998,0.0500000000000007,0.468196,89.24406902982389
142,142,143,1991,4.2267540737519615,209.93151184053067,-75.14999999999998,23.246,67.42303064000001,53.35298724,120.75,18.85,NW,-0.2269999999999754,0.3339999999999996,0.990018,4.2267540737519615
143,143,144,1991,65.30291413099403,34.473412210605545,-74.632,23.598,14.03403232,11.2920458,123.78,81.68,NW,-0.3600000000000136,0.3299999999999983,0.456755,65.30291413099403
144,144,145,1991,61.48808906609512,46.82874590598344,-74.738,23.669,15.73169752,11.83735644,124.93,78.5,NW,-0.0860000000000127,0.0650000000000012,0.698465,61.48808906609512
145,145,146,1991,64.70300351606498,102.08102695996736,-75.23899999999998,23.835,26.411554960000004,13.39612176,114.08,52.68,SW,-0.6759999999999877,-0.1549999999999975,0.522517,64.70300351606498
